cidade,UF,mortes_1_milhão_hab,mortes,casos,população,data,Região
São Paulo,SP,521,6387,106540,12252023,21/jun.,Sudeste
Rio de Janeiro,RJ,868,5832,50430,6718903,21/jun.,Sudeste
Fortaleza,CE,1165,3110,32854,2669342,21/jun.,Nordeste
Brasília,DF,128,386,29598,3015268,21/jun.,Centro-Oeste
Manaus,AM,784,1711,25103,2182763,21/jun.,Norte
Salvador,BA,315,904,23411,2872347,21/jun.,Nordeste
Recife,PE,1010,1663,19613,1645727,21/jun.,Nordeste
Belém,PA,1231,1837,17581,1492745,21/jun.,Norte
Maceió,AL,524,534,12637,1018948,21/jun.,Nordeste
São Luís,MA,649,715,12546,1101884,21/jun.,Nordeste
Aracaju,SE,306,201,11270,657013,21/jun.,Nordeste
João Pessoa,PB,323,261,10466,809015,21/jun.,Nordeste
Porto Velho,RO,563,298,9440,529544,21/jun.,Norte
Macapá,AP,433,218,9416,503327,21/jun.,Norte
Santos,SP,697,302,7649,433311,21/jun.,Sudeste
Natal,RN,293,259,6091,884122,20/jun.,Nordeste
Rio Branco,AC,525,214,5985,407319,21/jun.,Norte
Vitória,ES,569,206,5913,362097,21/jun.,Sudeste
Serra,ES,512,265,5881,517510,21/jun.,Sudeste
Teresina,PI,326,282,5856,864845,21/jun.,Nordeste
Vila Velha,ES,458,226,5854,493838,21/jun.,Sudeste
São Bernardo do Campo,SP,385,323,5847,838936,21/jun.,Sudeste
Boa Vista,RR,468,187,5625,399213,20/jun.,Norte
Campina Grande,PB,171,70,5557,409731,21/jun.,Nordeste
Campinas,SP,175,211,5459,1204073,21/jun.,Sudeste
Niterói,RJ,341,175,5370,513584,21/jun.,Sudeste
Guarulhos,SP,415,572,5026,1379182,21/jun.,Sudeste
Santo André,SP,323,232,4813,718773,21/jun.,Sudeste
Osasco,SP,647,452,4801,698418,21/jun.,Sudeste
Goiânia,GO,74,112,4774,1516113,21/jun.,Centro-Oeste
Jaboatão dos Guararapes,PE,648,455,4449,702298,21/jun.,Nordeste
Cariacica,ES,540,206,4173,381285,21/jun.,Sudeste
Belo Horizonte,MG,38,96,4083,2512070,21/jun.,Sudeste
São Gonçalo,RJ,324,351,3927,1084839,21/jun.,Sudeste
Ananindeua,PA,597,317,3877,530598,21/jun.,Norte
Olinda,PE,530,208,3483,392482,21/jun.,Nordeste
Caucaia,CE,714,258,3273,361400,21/jun.,Nordeste
Guarujá,SP,328,105,2941,320459,21/jun.,Sudeste
Nova Iguaçu,RJ,384,315,2899,821128,21/jun.,Sudeste
Jundiaí,SP,341,143,2874,418962,21/jun.,Sudeste
Uberlândia,MG,74,51,2711,691305,21/jun.,Sudeste
Ribeirão Preto,SP,135,95,2708,703293,21/jun.,Sudeste
Duque de Caxias,RJ,403,371,2630,919596,21/jun.,Sudeste
Cuiabá,MT,168,103,2601,612547,21/jun.,Centro-Oeste
Diadema,SP,347,147,2505,423884,21/jun.,Sudeste
